Rank,Cancer,new_cases_2020,percent_of_all_cancers,,,
,All cancers*,"8,751,759",,,,
1,Breast,"2,261,419",25.8,,,
2,Colorectal **,"865,630",9.9,,,
3,Lung,"770,828",8.8,,,
4,Cervix uteri,"604,127",6.9,,,
5,Thyroid,"448,915",5.1,,,
6,Corpus uteri,"417,367",4.8,,,
7,Stomach,"369,580",4.2,,,
8,Ovary,"313,959",3.6,,,
9,Liver,"273,357",3.1,,,
10,Non-Hodgkin lymphoma,"240,201",2.7,,,
11,Pancreas,"232,908",2.7,,,
12,Leukaemia,"205,016",2.3,,,
13,Oesophagus,"185,750",2.1,,,
14,Kidney,"160,039",1.8,,,
15,Melanoma of skin,"150,791",1.7,,,
16,"Brain, central nervous system","139,756",1.6,,,
17,Bladder,"132,414",1.5,,,
18,"Lip, oral cavity","113,502",1.3,,,
19,Multiple myeloma,"77,791",0.9,,,
20,Gallbladder,"74,887",0.9,,,
21,Vulva,"45,240",0.5,,,
22,Nasopharynx,"36,983",0.4,,,
23,Hodgkin lymphoma,"34,106",0.4,,,
24,Larynx,"24,350",0.3,,,
25,Salivary glands,"23,889",0.3,,,
26,Oropharynx,"19,367",0.2,,,
27,Vagina,"17,908",0.2,,,
28,Hypopharynx,"14,000",0.2,,,
29,Kaposi sarcoma,"10,857",0.1,,,
30,Mesothelioma,"9,310",0.1,,,
