Rank,Cancer,new_cases_2020,percent_of_all_cancers,,,
,All cancers*,"18,094,716",,,,
1,Breast,"2,261,419",12.5,,,
2,Lung,"2,206,771",12.2,,,
3,Colorectal**,"1,931,590",10.7,,,
4,Prostate,"1,414,259",7.8,,,
5,Stomach,"1,089,103",6.0,,,
6,Liver,"905,677",5.0,,,
7,Cervix uteri,"604,127",3.3,,,
8,Oesophagus,"604,100",3.3,,,
9,Thyroid,"586,202",3.2,,,
10,Bladder,"573,278",3.2,,,
11,Non-Hodgkin lymphoma,"544,352",3.0,,,
12,Pancreas,"495,773",2.7,,,
13,Leukaemia,"474,519",2.6,,,
14,Kidney,"431,288",2.4,,,
15,Corpus uteri,"417,367",2.3,,,
16,"Lip, oral cavity","377,713",2.1,,,
17,Melanoma of skin,"324,635",1.8,,,
18,Ovary,"313,959",1.7,,,
19,"Brain, central nervous system","308,102",1.7,,,
20,Larynx,"184,615",1.0,,,
21,Multiple myeloma,"176,404",1.0,,,
22,Nasopharynx,"133,354",0.7,,,
23,Gallbladder,"115,949",0.6,,,
24,Oropharynx,"98,412",0.5,,,
25,Hypopharynx,"84,254",0.5,,,
26,Hodgkin lymphoma,"83,087",0.5,,,
27,Testis,"74,458",0.4,,,
28,Salivary glands,"53,583",0.3,,,
29,Vulva,"45,240",0.3,,,
30,Penis,"36,068",0.2,,,
31,Kaposi sarcoma,"34,270",0.2,,,
32,Mesothelioma,"30,870",0.2,,,
33,Vagina,"17,908",0.1,,,
